Utah Independent Bank,Salina,UT,84654,6/30/16,19,68752,58484,57547,672,0,7584,229,998,9557,0,6522,45609,3630,3679,128,11161,65,8670,128,490,490,0,0,490,0,0,0,57547,4.667017632,1.000061685,3.370578271,0,1.757943189,1.757943189,12.45122681,12.45122681,0.191930012,65.03519898,77.69822927,82.89702992,83.7022923,70195.67,62095.33,9910.67,44808,3,0,,5
Uwharrie Bank,Albemarle,NC,28001,6/30/16,150,523474,470875,464712,2459,12076,105169,0,29652,134428,50873,27051,332565,9953,10623,370,68363,314,4267,40,4356,4356,1296,0,2726,334,0,0,464712,3.578459178,1.556648743,4.19412308,-6.50E-02,0.492486514,0.637488363,6.296121544,-4.204963669,5.47E-03,63.01344479,70.98138202,72.37559242,88.77460963,523303.67,479368.33,52985,328775.33,9,0,,7
Valley Bank,Glasgow,MT,59230,6/30/16,14,36736,33003,32684,300,0,5038,0,0,4350,0,0,28220,2427,1396,49,4423,22,4279,52,269,269,0,0,269,0,0,0,32684,4.948116259,0.519546857,3.784488682,0.164067428,0.767616808,0.771116914,7.690902099,7.690902099,-7.44E-03,76.18684669,85.63211357,88.65659349,88.96994774,36570.33,34275.67,3666.67,26893.67,1,0,,2
Valley Bank & Trust,Mapleton,IA,51034,6/30/16,13,70877,58043,57857,650,0,8217,0,2424,1702,0,207,43826,1316,455,16,2947,8,9783,107,52,52,0,0,0,52,0,0,57857,3.232508402,0.29153843,2.082417359,1.1356116,1.00E-02,-6.66E-02,-0.371871918,-0.371871918,1.774277567,61.21449836,74.9900617,75.90182289,81.630148,72031.67,65460,12907.67,44863.33,2,0,,10
Valley Bank of Commerce,Roswell,NM,88202,6/30/16,21,166213,151444,150810,502,0,5000,0,0,4868,0,0,47596,1753,2955,121,12420,71,11467,78,322,322,92,0,0,230,0,0,150810,2.309096491,0.349541245,1.413568492,7.11E-02,0.963311973,0.963311973,10.98129263,-5.321807253,0,28.1969521,31.07685167,31.18873487,90.73297516,168792.67,153393.33,14807,45679.67,3,0,,4
Valley Business Bank,Visalia,CA,93291,6/30/16,84,415322,367168,363135,9408,0,60787,0,16686,14450,4554,9896,303278,2357,7185,152,127417,354,5248,26,0,0,0,0,0,0,0,0,363135,4.150066248,0.323051296,2.747858944,-0.264402103,1.121757168,1.162888521,10.25057985,5.801175617,-0.398744912,72.204699,82.58140912,86.6197773,87.43456884,416033,379174.67,47197.33,302449,4,0,47300,6
Valley Central Bank,Reading,OH,45215,6/30/16,22,109881,82482,71329,1,0,5719,0,3682,59543,1215,6697,96680,8,1314,21,12258,48,0,0,0,0,0,0,0,0,0,0,71329,3.418418761,0.124832864,2.999660289,0.110146645,0.146862193,0.146862193,0.586130611,0.586130611,0,87.28533595,134.4614392,137.5507336,64.91477143,108945.67,102211,27297.67,92902,2,0,17140,10
Valley Exchange Bank,Lennox,SD,57039,6/30/16,18,70180,62876,62854,200,0,8453,0,0,1499,116,0,25400,1702,2009,93,3786,21,14206,183,48,48,0,0,0,48,0,0,62854,2.524605857,0.275221398,2.111962092,0.144853367,0.223074185,0.223074185,2.104592795,-1.9952633,0.796985861,35.90909091,40.09450473,40.49003856,89.56112853,69035.33,63534.67,7317.33,26098.33,2,0,43620,3
Valley National Bank,Passaic,NJ,7055,6/30/16,2959,21764341,19415885,16389860,40117,2195100,2951441,0,1833529,3538042,467401,298560,16503720,1593642,125152,4956,1204541,4148,0,0,12085,12085,2391,0,3677,6017,0,0,16389860,3.130220144,0.417419502,2.122117073,1.93E-02,0.722152169,0.722331513,6.722795196,4.145596276,2.24E-03,75.3325451,100.0352169,111.6656135,75.30602466,21667890.33,19350715.67,2328109,16238180.67,226,0,35620,16
Valley Premier Bank,Hawley,MN,56549,6/30/16,28,104362,93757,93631,200,0,34303,0,18306,17264,780,0,61560,3597,4710,188,19195,88,8565,138,0,0,0,0,0,0,0,0,93631,3.767557162,0.201610377,2.624703319,0,1.115451806,1.158788616,11.88138322,1.758058331,3.25E-03,58.36607194,65.05537696,66.5879575,89.7175217,106145.33,99746.33,10352.33,61605.33,2,0,22020,9
Valley Republic Bank,Bakersfield,CA,93309,6/30/16,68,508616,460072,452018,37270,15069,66723,0,41080,42773,2161,5848,357142,2770,2721,68,74936,223,4973,26,0,0,0,0,0,0,0,0,452018,3.262411167,0.305007644,1.921588131,0.193078233,0.83315856,0.858258731,9.115934777,9.115934777,0,69.20014313,77.86481954,78.74456337,88.87215502,500315.33,463951.33,47104.33,333126.33,3,0,12540,0
Valley State Bank,Russellville,AL,35653,6/30/16,28,124833,104809,104382,151,0,63881,0,9215,23333,850,14502,49757,2216,3173,145,8383,43,4172,72,376,376,55,0,321,0,0,0,104382,2.882014196,0.178745401,1.903396968,9.66E-02,0.594207683,0.594207683,3.740117576,2.513683357,4.43E-02,39.06659297,46.72069897,50.46409835,83.61731273,124199,112005,19732,49685,4,0,,9
Valley View State Bank,Overland Park,KS,66212,6/30/16,137,863058,740352,663598,5000,2662,475801,0,297312,20645,5656,5249,278573,2915,1954,78,20778,101,505,4,6710,6710,0,0,0,6710,0,0,663598,2.654615364,0.361953675,1.590982365,0,0.888912117,0.923558231,6.691834826,3.434451423,-6.65E-03,31.57447124,41.06492184,41.76189958,76.88915461,867514.33,829122,119728,270762.67,10,0,28140,10
Valliance Bank,Oklahoma City,OK,73118,6/30/16,69,366242,329801,290827,4000,0,33187,0,33187,38458,641,9378,308952,1523,4730,130,70252,252,1066,5,1693,1693,0,0,0,911,782,0,290827,4.089791452,0.299014039,3.12814687,0.385969341,0.60139409,0.607004109,5.966144611,-2.586064531,0.10169101,83.45410958,105.0947814,127.4764874,79.40842394,356505,332682,36271.33,295011.33,3,0,36420,8
VALOR BANK,Grandfield,OK,73546,6/30/16,15,47941,43550,39592,100,0,1971,0,1,19251,0,6001,41696,534,510,25,9823,15,7643,94,60,60,0,0,60,0,0,0,39592,4.910418749,1.904541242,4.652455978,0.134383689,1.649675626,1.649675626,16.96720706,16.96720706,2.12E-02,86.46669865,104.7004445,141.3186513,82.58484387,43160,39833.67,4196.33,37663,3,0,,2
ValueBank Texas,Corpus Christi,TX,78408,6/30/16,118,222055,200149,198380,2000,0,26123,0,15451,40116,291,4570,134101,1701,2162,83,30813,112,510,9,330,330,35,0,0,295,0,0,198380,4.345219638,1.88923614,4.671941136,5.16E-02,0.786421526,0.976996931,9.610116378,5.917468394,0.091799486,59.68386211,66.80663373,68.46069209,89.33822702,213102,193500,21664.67,137255.67,10,0,18580,1
Van Wert Federal Savings Bank,Van Wert,OH,45891,6/30/16,15,117347,93635,93343,0,0,32991,0,13600,54838,231,14931,60512,738,254,8,1216,7,1747,20,119,119,119,0,0,0,0,0,93343,2.431750401,0.160794873,2.137015732,0,0.236869867,0.49967439,2.451125906,2.451125906,0,51.37839059,64.59081024,66.96395846,79.54442806,115675.33,108975,23581,61198.67,1,0,,3
Vantage Bank,Kent,MN,56553,6/30/16,8,21947,19838,19151,100,2321,0,0,0,6252,1231,376,19137,1030,1515,54,4608,34,3110,28,0,0,0,0,0,0,0,0,19151,4.038430223,1.786718429,4.982959173,0.238229124,0.258081551,0.258081551,2.479342783,2.479342783,0,86.5494145,99.18542113,108.5552635,87.2602178,20148.67,18423,2097.33,17758.33,2,0,,8
Vantage Bank of Alabama,Albertville,AL,35950,6/30/16,25,111192,95982,95711,1059,0,21663,0,2658,18713,2031,577,71287,6959,11495,536,21269,129,1778,75,0,0,0,0,0,0,0,0,95711,4.116330087,0.798823434,3.036952344,7.12E-02,1.087040353,1.087040353,8.247099849,8.247099849,3.17E-02,63.43531909,73.69581344,76.28456788,86.07723577,112415.33,104656.33,14817.33,69433.33,2,0,,2
Venture Bank,Bloomington,MN,55435,6/30/16,108,588240,530360,522977,650,0,52946,0,16321,43206,14406,13414,515150,2882,7586,348,141125,555,0,0,0,0,0,0,0,0,0,0,522977,4.527655367,0.865012181,2.79280344,0.252876545,2.168459971,2.168459971,22.18838427,10.78547487,-0.029688253,86.23198014,96.9929844,122.8192811,88.90537876,573402.33,551013.67,56038.33,498513.67,4,0,33460,5
Vergas State Bank,Vergas,MN,56587,6/30/16,11,48390,41422,41123,50,0,15024,0,35,5062,0,0,17479,1466,1857,67,2997,20,2492,73,0,0,0,0,0,0,0,0,41123,2.439715335,0.21182557,1.963460089,0,0.443000591,0.488828238,3.469045275,0.578174213,-8.16E-02,35.32754701,41.57041072,42.87362376,84.98243439,49097,47054.67,6918.33,17167.33,1,0,,5
Veritex Community Bank,Dallas,TX,75225,6/30/16,157,1214961,1072440,1031758,800,24227,83677,820,70915,143919,4037,103568,932741,4548,17592,579,180619,694,1627,11,493,493,0,0,0,493,0,0,1031758,3.891954529,0.47225781,2.129060171,0.243219863,1.112943602,1.114698614,9.512379368,9.512379368,5.31E-02,76.12022114,89.63642637,99.28917432,84.92107977,1128197.33,1038809.67,132206.67,881675,12,0,19100,1
Vermilion Bank & Trust Company,Kaplan,LA,70548,6/30/16,31,106681,95232,93423,200,0,26348,0,12429,24276,0,1197,70232,7055,28146,318,0,0,7782,101,500,500,0,0,0,0,500,0,93423,3.911688101,0.718889561,3.096887011,0.102943613,1.243901985,1.326256875,13.80809605,5.269583873,0.215187935,65.07625538,74.31146506,83.01724344,87.57229497,116568.67,111000.67,11196.33,67847.67,3,0,29180,1
Vermilion Valley Bank,Piper City,IL,60959,6/30/16,21,125104,106824,99103,200,0,27239,0,0,13927,0,689,91854,2198,1399,73,3230,14,21297,200,79,79,19,0,60,0,0,0,99103,3.478596538,0.21299993,1.614315261,0.240225485,1.6335333,1.6335333,11.32872003,6.108623544,3.33E-02,72.6307712,91.68642725,94.06503308,79.21649188,124882.67,117403.67,18007.33,90184.33,5,0,16580,1
Vermillion State Bank,Vermillion,MN,55085,6/30/16,38,529332,452845,452215,50,0,209125,0,25908,59281,3776,7083,283884,6787,11448,419,83825,342,14815,156,150,150,0,150,0,0,0,0,452215,3.221143024,0.371428839,0.971861736,0,2.534036712,2.534036712,18.19127693,5.946268602,-5.47E-02,52.53961597,61.49928684,64.87566483,85.43126053,533615,519256.67,74332.33,285123.67,6,0,33460,2
Vermont State Bank,Vermont,IL,61484,6/30/16,10,24909,22700,22157,66,0,2652,0,2,8794,0,0,21258,6930,2022,59,0,0,2281,58,351,351,351,0,0,0,0,0,22157,4.013236043,0.308851062,2.690255302,0,1.462978714,1.495489352,17.37217525,12.65147545,-0.222706366,83.84519652,94.25915061,106.1877161,88.9517845,24607.33,23572,2118.33,20655,1,0,,1
Versailles Savings and Loan Company,Versailles,OH,45380,6/30/16,8,54165,44096,36562,1,0,216,0,216,30264,0,3535,41783,1202,1130,48,2669,16,5254,37,0,0,0,0,0,0,0,0,36562,3.205716405,2.54E-02,2.475553455,0,0.345341525,0.345341525,1.902092302,-8.709580539,0,76.66943598,113.582408,115.3747847,67.50115388,55018,51221,9989,41597.67,1,0,,8
Verus Bank,Derby,KS,67037,6/30/16,42,134466,121624,119467,855,2645,33347,0,4847,37518,4239,4871,86901,3629,1166,60,12597,51,10625,116,36,36,36,0,0,0,0,0,119467,3.675022161,1.136648628,3.426332693,7.90E-02,0.973018896,0.978739382,10.38570977,4.078406576,6.11E-02,64.00353993,72.03914052,76.66057988,88.84550741,134254.33,123536.67,12652,88370.33,5,0,48620,10
Verus Bank of Commerce,Fort Collins,CO,80525,6/30/16,16,263428,228671,207131,13371,0,0,0,0,27979,3122,12027,236400,96,1522,77,43229,152,352,4,198,198,198,0,0,0,0,0,207131,4.453762322,0.203621521,1.862538031,-0.22458256,1.858794988,1.858794988,13.68307938,13.66103656,-2.49E-03,89.00230803,113.1926172,133.8660409,78.62907512,267162.33,260588.67,36293,241049.67,1,0,22660,6
Victor State Bank,Victor,IA,52347,6/30/16,4,53236,39781,34429,60,0,24931,0,6,3682,0,0,25412,700,2930,103,7340,38,5105,92,0,0,0,0,0,0,0,0,34429,3.566819591,9.15E-02,0.785450109,0,2.501239181,2.501239181,9.980472658,9.2197659,0,47.48854159,73.4293764,78.07838414,64.67240213,52454,49848.33,13145.67,23959.67,1,0,,7
Victory Community Bank,Fort Mitchell,KY,41017,6/30/16,24,168278,145578,124225,0,41724,2668,0,0,118660,18952,46557,137599,496,442,9,4009,26,0,0,265,265,260,0,0,5,0,0,124225,3.153285924,2.495950618,2.970327198,0.433020673,1.935213174,1.935213174,14.38062096,6.381344059,0.222807016,81.16866138,109.952908,114.6015472,73.82129571,164426.33,148226.33,22127,134645.67,3,0,17140,5
Victory State Bank,Staten Island,NY,10308,6/30/16,58,332377,302524,301206,1,0,171181,2204,134387,9264,0,4735,119273,771,12409,392,23858,103,0,0,54,54,54,0,0,0,0,0,301206,3.148442791,0.819921991,2.583341255,0.120485899,0.726622654,0.726622654,8.078496053,8.078496053,0.209470554,35.47327282,39.14430655,45.91226806,90.62179393,323689.33,308597,29114.33,112665,5,0,35620,8
Vidalia Federal Savings Bank,Vidalia,GA,30474,6/30/16,31,227757,198408,198184,0,0,107037,0,37,57370,0,13773,63613,2124,427,12,2937,16,0,0,274,274,274,0,0,0,0,0,198184,2.089986024,0.246763074,1.778456729,0.014100747,0.320791997,0.320791997,2.495943235,2.495943235,4.99E-02,27.68652555,31.81790659,36.36017667,87.01554727,226938.33,216078,29167.33,64093.67,2,0,,3
Viking Savings Bank,Alexandria,MN,56308,6/30/16,28,170316,141486,134321,1520,571,7868,0,1696,45758,2730,8225,132117,2643,2965,125,22700,94,3641,34,530,530,46,0,418,66,0,0,134321,3.468215362,0.275606508,1.667535175,0,1.767124081,1.768282091,10.63518596,0.898453824,-5.43E-02,76.63226003,97.1679782,101.3826639,78.86575542,172710,157429.67,28716,132683,1,0,,1
Villa Grove State Bank,Villa Grove,IL,61956,6/30/16,20,72861,65649,64809,709,0,8785,0,0,34773,0,18118,56321,1834,1105,55,3876,15,3668,36,0,0,0,0,0,0,0,0,64809,3.963212822,0.170599181,2.198833887,8.12E-02,1.681620497,1.681620497,17.40146525,7.453767725,-1.41E-02,76.342625,85.82758567,85.82758567,88.94882036,73857.33,71003,7137.33,56674.67,2,0,,5
Village Bank,Saint Francis,MN,55070,6/30/16,60,224717,203687,191284,141,1973,24440,0,12502,40391,6424,0,177285,2768,7339,258,59712,228,90,1,803,803,0,0,310,493,0,0,191284,4.569874721,1.038368939,3.24594687,-0.324780276,2.416365251,2.426572631,24.77929607,24.77929607,-0.285414719,77.82544267,91.42792915,91.9200042,85.12217589,215530.33,202762.67,21106.33,168176.33,4,0,33460,9
Village Bank and Trust,Arlington Height,IL,60004,6/30/16,111,1328824,1177591,1123987,1000,251851,106690,0,18707,98210,57208,19229,1027748,159208,48954,5646,295172,1011,0,0,2604,2604,1732,0,872,0,0,0,1123987,3.320978715,0.4368651,1.649295537,0.122076816,0.983410555,1.013111719,8.907658906,8.907658906,3.09E-02,76.79113261,90.78565855,120.9017224,84.58509178,1271330.67,1123825.33,144594.67,984148.33,9,0,16980,5
Vinings Bank,Smyrna,GA,30080,6/30/16,26,284790,254472,235281,8425,0,147858,0,39894,9739,3880,3772,103905,485,859,47,23541,98,325,1,2765,2765,0,0,1540,1225,0,0,235281,3.341150228,0.157906666,2.25821154,0,0.895776739,1.28810901,12.48066718,6.84240891,0.511933587,35.98300502,43.55472818,45.62579864,82.6156115,273579.33,253864.67,28235.67,101185,1,0,12060,6
Vintage Bank Kansas,Leon,KS,67074,6/30/16,15,58852,51417,41852,200,0,13374,0,8865,13033,110,2830,39350,2178,1863,69,5185,29,12005,193,193,193,0,193,0,0,0,0,41852,4.217549474,0.372572265,2.918482741,0.200085105,1.120959553,1.117716794,9.025069638,9.025069638,-0.041807473,66.12689458,92.98719297,95.3240582,71.11398083,57975.33,54154.67,7180,38270.67,3,0,48620,10
Virginia Bank and Trust Company,Danville,VA,24541,6/30/16,70,184058,159849,157498,3136,0,30437,0,12966,43704,3358,0,133767,16485,6522,285,35995,143,1936,47,810,810,22,0,788,0,0,0,157498,4.089227001,0.842957546,3.472770324,-5.37E-03,0.814479541,0.900944435,6.980614028,0.241284633,3.76E-02,71.97133512,84.10836963,84.10836963,85.56976605,186249,175925.67,24038,133079,8,0,,10
Virginia Commonwealth Bank,Petersburg,VA,23805,6/30/16,56,324858,289888,246353,1500,0,23700,0,18300,64939,26466,18108,274619,38901,1870,25,32821,86,0,0,3431,3431,549,0,117,2765,0,0,246353,3.459585482,0.269319924,2.445964776,0.184045506,0.594988447,0.60980411,5.779518352,4.192185847,0.264672271,83.56358778,110.192691,114.9794364,75.83405673,326006.33,303678,34397.33,265989.33,7,0,40060,7
Virginia National Bank,Charlottesville,VA,22902,6/30/16,87,545226,488438,471661,6725,0,69545,0,33503,82651,25248,12596,424593,63256,4034,201,79266,308,2359,10,0,0,0,0,0,0,0,0,471661,3.465937036,0.85129758,2.642044857,-0.1421228,1.081385398,1.083371519,10.81757477,4.38666848,-6.60E-03,77.29033465,89.34531369,102.0459708,86.50742995,555857.33,516166.33,55668.67,424281.67,9,0,16820,6
Virginia Partners Bank,Fredericksburg,VA,22401,6/30/16,47,323334,296102,269932,12458,0,57721,0,39962,77965,18613,28814,239743,2499,6335,238,70998,231,0,0,439,439,0,0,0,439,0,0,269932,3.238079437,0.1982209,2.767444212,3.00E-02,0.300677523,0.302748964,3.537691496,3.537691496,-6.86E-03,73.17789035,87.65503905,111.1550098,83.48395158,313791.33,296657.33,26853.67,233311.33,4,0,47900,0
Vision Bank  National Association,Ada,OK,74820,6/30/16,210,629177,564381,490990,1384,6746,164615,0,80378,149060,3192,86805,408119,31634,16093,638,75563,351,34169,635,225,225,10,0,215,0,0,0,490990,3.919716533,1.011764296,3.595376694,9.51E-02,0.903360978,0.909700354,8.961934729,-3.897036426,2.33E-02,63.93193012,81.92529379,90.69049637,78.03686403,630977,576623.33,64048.67,403866.33,9,0,,4
VISIONBank,Fargo,ND,58103,6/30/16,48,160235,142893,139904,1000,13578,173,0,173,35611,2673,40,151426,5392,5670,189,46474,205,664,5,0,0,0,0,0,0,0,0,139904,4.321355304,0.598777483,3.49536356,0.149694371,0.641190889,0.641190889,6.015097426,6.015097426,0.30181759,93.18251318,106.7238964,112.0541242,87.31176085,160326.67,151110,17090.33,149759.33,2,0,22020,7
VisionBank,Topeka,KS,66614,6/30/16,25,126826,115257,106802,3480,0,2697,0,2048,26888,3139,13382,103837,2804,3530,134,12930,82,1396,163,246,246,0,0,0,246,0,0,106802,3.89383346,0.770004254,2.994284584,0.11430991,0.793818819,0.793818819,8.839388314,8.839388314,1.99E-03,80.943182,96.11898654,99.36695996,84.21143929,125973.33,117827.33,11313,100454.33,2,0,45820,0
VISIONBANK OF IOWA,Ames,IA,50010,6/30/16,92,438117,391059,337027,12250,0,15286,0,0,45599,11186,4017,371329,951,3498,130,44682,170,13858,144,3750,3750,0,0,0,3750,0,0,337027,3.710229039,0.176716847,2.586492029,0,1.005018002,1.005018002,9.154358101,4.575027109,-4.08E-02,83.54046978,108.5981242,126.8125106,76.92625486,423276,395609,46469.67,367463.33,8,0,11180,2
VIST Bank,Wyomissing,PA,19610,6/30/16,149,1516583,1342130,991862,4300,0,234108,0,147064,295003,68287,43642,1162173,2055,13276,493,148581,627,14184,96,0,0,0,0,0,0,0,0,991862,3.500172926,0.304911778,2.40371891,0.137258006,0.692373274,0.696921734,5.965650431,3.245929885,0.109027972,76.17196026,116.4689241,128.57278,65.40110235,1467309.67,1344505,171414.67,1111641.33,22,0,39740,6
Vista Bank,Ralls,TX,79357,6/30/16,85,393519,347189,279962,1800,0,36609,0,0,50148,0,2265,277074,8582,9193,452,44102,170,19266,299,3418,3418,0,0,3418,0,0,0,279962,5.122369831,0.466651703,3.447974197,0.265272667,0.99092177,0.99092177,7.672205569,7.672205569,0.243961819,69.70463942,97.97793986,108.3962316,71.14319766,350582.67,316377,45280.33,257417.33,11,0,31180,10
VistaBank,Aiken,SC,29801,6/30/16,24,110654,98584,89897,11442,0,21378,0,12191,22777,9808,0,79636,2536,1714,60,25741,90,2299,18,425,425,255,0,126,44,0,0,89897,3.355765842,7.20E-03,3.222140694,9.89E-02,-0.13773707,-7.56E-02,-0.700214149,-0.700214149,-1.31E-02,71.24911888,87.7003682,96.64725713,81.24152764,111168.33,102629.33,11996.33,76319.67,3,0,12260,7
Volunteer Federal Savings Bank,Madisonville,TN,37354,6/30/16,70,172576,147507,135536,0,0,1466,0,0,94648,10482,40158,123833,9362,917,47,5172,28,838,10,1172,1172,0,0,601,571,0,0,135536,3.767660992,0.642899102,3.39538289,3.46E-02,0.37560055,0.37560055,2.619596429,2.619596429,0.040250302,71.43635268,90.95885964,93.49674268,78.5369924,173588.67,155003.33,24889.33,124222.67,6,0,,3
Volunteer State Bank,Portland,TN,37148,6/30/16,242,603850,547109,423905,500,349053,27212,0,7144,233252,27324,37849,502442,5210,9411,442,86655,317,3348,56,0,0,0,0,0,0,0,0,423905,4.060946741,4.93093724,5.719368305,8.14E-02,2.554473407,2.554473407,25.11544015,5.898886705,-6.59E-03,82.52893931,117.5619537,134.8764639,70.20038089,555026.33,491708,56451.33,455547,10,0,34980,6
Wabash Savings Bank,Mount Carmel,IL,62863,6/30/16,3,9978,8642,8612,0,0,1572,0,181,3069,0,0,4870,653,114,7,715,4,309,4,63,63,0,0,0,63,0,0,8612,3.326837599,0.116196539,3.737655328,0,-0.365244453,-0.348589616,-2.72659108,-2.72659108,0,48.33633995,56.00325128,56.00325128,86.30988174,10327.33,9919.33,1320.33,4817,1,0,,10
Wadena State Bank,Wadena,MN,56482,6/30/16,24,116267,100464,96095,1000,0,34377,466,3405,19386,1593,11782,67200,3489,3458,129,21809,89,9991,148,682,682,335,0,347,0,0,0,96095,3.901880477,0.330476834,2.585100511,0,1.457788672,1.457788672,11.45883949,7.371106187,-9.68E-02,57.2234598,69.23565222,69.89536496,82.6502791,119221.67,113535,15167.33,68158.33,4,0,,7
Wahoo State Bank,Wahoo,NE,68066,6/30/16,16,70950,65662,63531,480,0,16323,0,7053,20838,489,1261,47662,2373,9780,142,0,0,13521,95,0,0,0,0,0,0,0,0,63531,3.670699024,0.578776302,3.273079774,6.84E-02,0.598734105,0.598734105,8.142170043,5.273024409,0,66.29739253,74.03944531,74.03944531,89.54334038,70148,64674.33,5158.33,45875,2,0,36540,4
